sample_id,num_forms,num_inputs,num_iframes,num_ext_links,num_ext_scripts,has_password_field,has_meta_redirect,script_content_ratio,favicon_mismatch,has_auto_submit,input_submit_ratio,num_unique_ext_domains
0,5,13,0,69,54,0,0,0.22546660652760367,1,0,3.25,14
1,1,1,0,312,2,0,0,0.034323755300536725,0,0,1.0,8
2,0,0,0,18,18,0,0,0.3829775517907498,1,0,0.0,9
3,5,18,0,483,0,0,0,0.016622405138971928,0,0,18.0,13
4,1,1,1,80,8,0,0,0.04778853075261937,1,0,1.0,21
5,0,1,0,19,0,0,0,0.0,0,0,1.0,5
6,0,0,0,1,1,0,0,0.0,0,0,0.0,2
7,2,5,0,178,9,0,0,0.12030399262807968,1,0,5.0,10
8,0,0,0,11,4,0,0,0.25740521871191757,1,0,0.0,7
9,0,0,1,11,6,0,0,0.27787003623580514,1,0,0.0,5
10,1,5,0,41,4,0,0,0.057002466361307645,0,0,5.0,5
11,1,2,1,62,0,0,0,0.20836779083955648,0,0,2.0,2
12,1,20,1,44,0,0,0,0.10953118481137089,0,0,20.0,2
13,1,1,2,140,41,0,0,0.3744666623963204,0,0,1.0,15
14,1,6,0,47,12,0,0,0.16219243494985372,0,0,2.0,1
15,1,13,0,374,0,0,0,0.014576625184927335,0,0,13.0,15
16,0,0,0,12,0,0,0,0.010399420529801324,0,0,0.0,2
17,3,10,3,80,3,0,0,0.19619060410571956,1,1,10.0,14
18,2,4,0,0,7,0,0,0.7021721260083875,0,0,4.0,2
19,1,2,1,44,0,0,0,0.16735548208191126,0,0,2.0,3
20,0,0,3,11,12,0,0,0.30921279448381533,1,0,0.0,7
21,1,1,3,8,9,0,0,0.08259315605201734,1,0,1.0,5
22,1,3,1,67,4,0,0,0.2328507841424352,1,0,3.0,12
23,2,4,4,152,6,0,0,0.0024357508574837203,1,0,4.0,3
24,2,24,3,19,30,0,0,0.05755806497663851,1,0,12.0,13
25,4,15,3,47,15,0,0,0.007259808464627742,1,0,3.75,18
26,2,27,2,168,9,0,0,0.010671630574279405,1,0,27.0,16
27,0,19,3,687,16,0,0,0.5271474000182037,0,0,19.0,19
28,0,0,0,8,82,0,0,0.7158532854335737,0,0,0.0,2
29,0,0,0,85,2,0,0,0.36940696699443554,1,0,0.0,3
